	Unnamed: 0	date	likes	retweets	text	filtered_text
0	0	Tue Apr 10 21:49:56 +0000 2018	31841	6762	Today, it was my great honor to welcome the 2017 NCAA Football National Champion, Alabama Crimson Tide - to the Whi… https://t.co/7XFdpF69XP	Today it was my great honor to welcome the 2017 NCAA Football National Champion Alabama Crimson Tide  to the Whi 
1	1	Tue Apr 10 18:30:38 +0000 2018	59996	12964	Very thankful for President Xi of China’s kind words on tariffs and automobile barriers...also, his enlightenment o… https://t.co/rV24pPsGjV	Very thankful for President Xi of Chinas kind words on tariffs and automobile barriersalso his enlightenment o 
2	2	Tue Apr 10 13:30:35 +0000 2018	62020	14260	Last night, it was my great honor to host America’s senior defense and military leaders for dinner at the White Hou… https://t.co/sa6xgJOMsX	Last night it was my great honor to host Americas senior defense and military leaders for dinner at the White Hou 
3	3	Tue Apr 10 11:08:18 +0000 2018	100999	26397	A TOTAL WITCH HUNT!!!	A TOTAL WITCH HUNT
4	4	Tue Apr 10 11:07:58 +0000 2018	88218	23639	Attorney–client privilege is dead!	Attorneyclient privilege is dead
5	5	Mon Apr 09 19:32:27 +0000 2018	46632	9579	Great @Cabinet meeting at the @WhiteHouse this morning! https://t.co/kzmfovwUeb https://t.co/7AgbwbFNuw	Great Cabinet meeting at the WhiteHouse this morning  
6	6	Mon Apr 09 19:17:39 +0000 2018	93276	24427	The Democrats are not doing what’s right for our country. I will not rest until we have secured our borders and res… https://t.co/Sa3HNQ2G35	The Democrats are not doing whats right for our country I will not rest until we have secured our borders and res 
7	7	Mon Apr 09 16:55:41 +0000 2018	0	9919	RT @StateDept: .@POTUS Trump condemns the heinous attack on innocent Syrians with banned chemical weapons. #Syria https://t.co/qiEahlL3Ah	RT StateDept POTUS Trump condemns the heinous attack on innocent Syrians with banned chemical weapons Syria 
8	8	Mon Apr 09 10:03:16 +0000 2018	166751	44840	When a car is sent to the United States from China, there is a Tariff to be paid of 2 1/2%. When a car is sent to C… https://t.co/lKzX2101uS	When a car is sent to the United States from China there is a Tariff to be paid of 2 12 When a car is sent to C 
9	9	Mon Apr 09 00:43:27 +0000 2018	88421	12477	Congratulations to Patrick Reed on his great and courageous MASTERS win! When Patrick had his amazing win at Doral… https://t.co/ry4szk4uix	Congratulations to Patrick Reed on his great and courageous MASTERS win When Patrick had his amazing win at Doral 
10	10	Sun Apr 08 13:12:57 +0000 2018	87251	24320	If President Obama had crossed his stated Red Line In The Sand, the Syrian disaster would have ended long ago! Anim… https://t.co/blQl4xUQ49	If President Obama had crossed his stated Red Line In The Sand the Syrian disaster would have ended long ago Anim 
11	11	Sun Apr 08 13:04:22 +0000 2018	64388	15218	....to pay. Open area immediately for medical help and verification. Another humanitarian disaster for no reason whatsoever. SICK!	to pay Open area immediately for medical help and verification Another humanitarian disaster for no reason whatsoever SICK
12	12	Sun Apr 08 13:00:06 +0000 2018	97813	32702	Many dead, including women and children, in mindless CHEMICAL attack in Syria. Area of atrocity is in lockdown and… https://t.co/A1m0GgLV1L	Many dead including women and children in mindless CHEMICAL attack in Syria Area of atrocity is in lockdown and 
13	13	Sun Apr 08 12:12:35 +0000 2018	103361	23255	President Xi and I will always be friends, no matter what happens with our dispute on trade. China will take down i… https://t.co/BwfZ1XvHlB	President Xi and I will always be friends no matter what happens with our dispute on trade China will take down i 
